,X1,X2,X3,X4,X5,Y
101,113.6,147.54,280.17,314.05,418.89,25568.0
102,100.65,142.15,304.32,341.07,394.48,21600.0
103,68.22800000000001,176.03,325.99,359.93,383.21,13924.0
104,95.715,141.79,286.45,240.55,406.88,19566.0
105,92.25399999999999,182.81,291.97,290.26,429.55,19338.0
106,96.97399999999999,144.5,343.49,284.49,376.68,20227.0
107,103.37,144.17,318.11,338.59,382.99,22360.0
108,63.901,155.67,265.7,262.34,410.69,12331.0
109,47.111999999999995,149.29,281.26,313.98,396.45,9892.4
110,110.9,138.65,312.23,262.26,446.53,24750.0
111,105.2,170.23,320.53,343.12,439.61,23585.0
112,51.968,202.16,288.13,307.89,431.79,11110.0
113,80.297,131.7,249.84,350.31,373.93,15810.0
114,133.21,223.05,315.57,278.51,431.17,32919.0
115,70.285,157.69,277.27,316.07,379.12,13691.0
116,100.65,181.92,298.39,324.09,337.75,21067.0
117,126.67,157.04,269.32,327.43,408.37,30079.0
118,40.653,142.41,278.8,291.28,382.51,8754.1
119,98.177,154.87,290.66,311.23,385.56,20585.0
120,65.756,174.14,305.4,274.78,411.17,13040.0
121,78.833,128.37,285.99,300.22,405.55,15624.0
122,54.839,181.78,282.41,277.95,425.29,11194.0
124,67.753,153.4,224.76,264.63,380.68,12573.0
125,125.81,148.21,291.79,260.3,363.78,28993.0
126,91.095,148.91,272.3,290.7,378.16,18322.0
127,76.594,165.9,325.71,277.94,408.73,15348.0
128,93.675,163.71,319.8,313.16,420.82,19865.0
129,131.89,125.3,302.86,285.0,393.12,31674.0
130,93.775,168.13,232.56,251.71,447.2,19299.0
131,90.429,174.25,299.1,304.74,413.63,18806.0
132,92.865,148.53,254.72,259.38,401.24,18714.0
133,114.59,144.49,323.89,320.78,366.45,25662.0
134,56.643,209.18,297.62,298.93,382.09,11391.0
135,94.399,174.06,284.51,326.22,363.98,19461.0
136,73.311,176.29,298.84,329.86,393.45,14725.0
137,111.92,180.95,292.13,349.64,390.45,25163.0
138,82.265,174.31,296.22,281.8,375.47,16239.0
139,64.058,221.26,332.23,279.9,364.73,12624.0
140,111.97,143.27,253.58,286.24,368.38,24221.0
141,83.105,162.67,294.08,330.97,349.82,16464.0
142,138.22,152.33,268.11,321.61,386.55,34241.0
143,90.227,136.9,297.51,304.25,386.12,18347.0
144,101.45,176.9,258.14,346.29,378.56,21600.0
145,79.09899999999999,154.51,282.81,311.5,363.02,15433.0
146,128.09,134.25,284.32,302.12,416.88,30515.0
147,83.137,125.64,266.37,330.03,367.28,16352.0
148,94.64,158.42,283.82,269.62,406.19,19498.0
149,129.72,167.4,248.63,326.75,411.16,31162.0
150,120.91,154.9,264.03,313.83,376.03,27584.0
151,77.72,220.34,272.0,314.93,440.65,16056.0
152,112.17,150.09,335.39,314.66,357.27,24819.0
153,68.108,150.74,247.83,308.09,425.02,13457.0
154,101.37,133.14,240.83,307.49,364.77,20945.0
155,101.78,162.61,258.0,268.12,380.1,21152.0
156,51.523999999999994,92.85600000000001,284.76,338.4,407.28,10600.0
157,97.665,127.54,287.05,329.72,391.78,20502.0
158,50.653,153.41,275.66,317.16,414.87,10574.0
159,65.55199999999999,189.7,311.83,308.28,407.77,13276.0
160,73.725,161.32,298.95,332.49,379.87,14649.0
161,103.88,205.59,217.72,340.41,360.58,22005.0
162,77.84100000000001,137.92,240.19,300.89,367.55,14837.0
163,101.3,202.85,281.8,269.39,337.01,20881.0
164,26.43,155.31,285.68,322.55,357.88,7425.4
165,80.467,169.7,269.02,303.15,426.2,16274.0
166,79.904,117.31,325.33,330.33,447.82,16633.0
167,92.436,169.62,271.45,314.45,389.97,19015.0
168,79.62100000000001,163.14,305.99,321.95,396.82,16093.0
169,79.421,145.4,309.57,282.8,414.88,15918.0
170,108.4,185.07,242.28,305.8,390.43,23509.0
171,106.92,125.07,293.09,287.94,411.08,23177.0
172,142.71,144.72,273.02,305.88,413.05,36216.0
173,90.84700000000001,131.23,273.63,289.37,394.58,18347.0
174,97.55799999999999,174.08,300.32,292.89,428.15,20812.0
175,126.97,164.34,241.16,338.81,349.52,29586.0
176,113.95,200.29,286.76,261.52,381.47,25211.0
177,94.338,163.43,314.74,320.74,385.15,19730.0
178,66.619,176.81,238.45,320.47,403.33,13086.0
179,87.45700000000001,125.13,280.31,290.81,418.55,17721.0
180,105.5,184.11,295.37,298.8,366.66,22614.0
181,50.39,153.33,248.27,276.97,418.4,10163.0
182,68.465,149.41,301.92,338.65,410.92,13873.0
183,57.538999999999994,159.5,285.64,288.17,387.12,11276.0
184,112.75,138.53,271.21,277.51,443.11,25200.0
185,97.094,215.55,274.47,304.09,420.18,20692.0
186,104.3,171.1,282.42,314.09,389.15,22447.0
187,49.056999999999995,173.08,318.67,316.48,388.3,10384.0
188,57.043,123.12,299.26,366.17,393.86,11706.0
189,69.906,131.99,289.59,357.51,407.03,14120.0
190,92.014,157.08,310.81,309.66,428.32,19395.0
191,46.711000000000006,107.18,276.61,264.49,404.59,9417.0
192,87.70100000000001,166.64,265.25,316.86,381.51,17672.0
194,57.78,144.08,313.11,362.3,398.0,11991.0
195,137.31,201.84,332.62,334.27,371.73,34339.0
196,115.52,171.95,307.52,304.06,433.13,26505.0
197,77.01,150.74,268.82,334.26,386.62,15245.0
198,75.437,158.91,301.59,348.64,378.5,15116.0
199,101.92,140.3,286.75,292.6,371.07,21337.0
200,105.28,161.86,294.06,327.45,374.61,22722.0
201,47.86600000000001,207.63,289.06,291.32,376.11,9906.5
202,78.21300000000001,158.37,296.98,317.1,362.08,15347.0
203,90.431,87.60799999999999,325.59,300.53,378.45,18274.0
204,38.091,172.62,273.06,290.16,370.23,8416.7
205,128.44,181.05,299.8,345.94,358.31,30625.0
206,66.705,153.9,298.02,360.93,398.69,13553.0
207,77.406,151.12,267.28,293.61,334.58,14570.0
208,98.949,131.98,302.21,314.8,390.43,20853.0
209,80.35,163.16,313.21,318.54,395.26,16263.0
210,112.32,141.34,231.08,279.31,388.11,24350.0
211,73.934,136.6,295.81,340.02,392.09,14753.0
212,115.63,162.42,276.71,278.86,399.83,25867.0
213,109.11,120.76,335.7,318.7,388.68,24059.0
214,91.81,211.66,334.63,326.24,427.16,19759.0
216,111.31,133.68,315.17,346.04,413.0,25108.0
217,69.781,156.04,251.46,361.57,350.2,13469.0
218,79.72399999999999,139.59,323.78,299.27,433.19,16323.0
219,106.52,162.66,261.69,296.25,380.37,22787.0
220,91.913,181.49,334.35,322.63,366.02,19075.0
221,56.451,156.02,290.77,295.57,368.45,10982.0
222,107.22,171.18,307.06,300.3,380.84,23304.0
223,131.81,162.31,244.64,341.44,397.68,31884.0
224,132.54,198.43,290.28,306.12,391.04,32238.0
225,27.404,153.77,313.37,323.77,379.04,7849.4
226,92.365,176.98,346.8,326.71,389.68,19495.0
227,107.55,156.41,238.48,351.52,403.65,23543.0
228,79.095,145.09,269.08,314.44,423.83,15921.0
229,116.29,198.46,321.59,310.78,376.44,26441.0
230,95.506,137.92,296.97,313.7,432.54,20268.0
231,65.175,192.27,290.32,305.01,375.46,12774.0
232,83.025,172.04,278.99,306.09,393.08,16647.0
233,82.086,193.94,254.09,284.95,431.55,16596.0
234,52.213,145.42,316.67,276.19,340.84,10026.0
235,136.55,209.27,323.97,305.6,382.0,33928.0
236,76.73899999999999,162.4,327.62,252.42,372.34,14867.0
237,84.36399999999999,145.03,267.61,339.12,399.86,17094.0
238,86.404,169.76,302.39,322.38,393.1,17697.0
239,85.22200000000001,153.9,297.7,297.87,385.56,17090.0
240,129.84,183.28,260.47,294.66,356.24,30596.0
241,89.99700000000001,177.77,314.26,340.37,357.59,18487.0
242,123.33,172.67,281.26,299.39,368.82,28433.0
244,102.37,124.9,313.07,273.0,376.35,21476.0
245,89.421,143.34,261.83,234.28,404.87,17694.0
246,100.79,173.08,271.51,335.53,368.27,21297.0
247,105.56,163.36,258.22,318.98,398.67,22796.0
248,87.87299999999999,143.2,279.37,325.09,428.01,18199.0
249,21.335,150.48,292.89,313.49,418.38,7607.0
250,115.47,130.12,254.87,351.58,391.45,25977.0
251,89.366,233.02,275.91,307.9,380.57,18326.0
252,59.2,209.89,319.97,297.56,434.96,12432.0
253,114.1,124.34,252.09,290.03,381.74,24994.0
254,49.445,201.13,321.03,282.55,374.67,10203.0
255,84.227,135.02,318.31,301.61,354.78,16620.0
256,103.61,185.42,328.52,355.83,361.8,22547.0
257,147.83,142.09,317.37,279.9,411.11,38404.0
258,36.708,180.4,290.05,290.21,347.18,8166.4
259,91.71600000000001,132.38,285.74,256.49,426.48,18732.0
260,73.402,136.39,258.14,295.37,366.43,13907.0
261,47.446999999999996,155.34,252.18,325.07,371.5,9643.2
262,36.202,149.59,332.15,292.71,373.18,8485.8
263,95.37899999999999,144.7,278.62,290.17,402.68,19725.0
264,53.027,182.29,282.28,312.04,376.8,10675.0
265,77.167,184.86,314.05,236.53,381.45,14955.0
266,90.90299999999999,212.02,268.25,306.47,448.57,19246.0
267,102.78,119.02,332.31,310.14,365.19,21814.0
268,92.285,134.74,298.02,294.38,391.4,18871.0
270,93.92,179.96,312.79,330.71,355.58,19450.0
271,111.29,196.03,303.75,326.33,394.09,24956.0
272,90.84200000000001,125.08,303.95,340.32,422.24,19076.0
274,85.324,108.74,284.35,277.9,335.67,16281.0
275,98.156,207.9,277.26,255.97,430.7,20766.0
276,88.04299999999999,176.48,276.29,308.95,383.91,17823.0
278,79.613,195.42,299.82,358.95,357.76,16046.0
279,103.23,142.69,339.03,345.36,390.5,22539.0
280,67.992,116.74,267.2,272.34,418.0,13115.0
281,87.10600000000001,216.37,330.85,355.06,432.68,18777.0
282,71.98100000000001,212.86,224.5,282.21,389.72,13841.0
283,67.21300000000001,163.95,305.02,324.84,387.6,13384.0
284,100.86,148.53,322.98,299.26,415.8,21714.0
285,78.726,151.82,283.48,321.36,379.48,15561.0
286,54.93899999999999,169.95,371.06,344.63,421.74,12034.0
287,79.757,115.09,314.76,310.17,412.24,16068.0
288,51.226000000000006,94.564,284.06,255.84,364.19,9612.5
289,83.855,136.18,269.96,267.5,428.38,16754.0
290,58.869,171.58,257.33,328.49,391.36,11697.0
291,83.43,115.03,274.12,279.19,372.58,16145.0
292,97.715,174.54,320.7,298.86,381.82,20566.0
294,112.02,180.52,322.22,349.61,348.77,24958.0
295,111.34,144.19,250.17,305.05,352.28,23973.0
296,68.135,150.9,262.49,349.35,396.81,13542.0
297,77.705,180.28,286.35,303.52,408.43,15605.0
298,67.666,165.87,326.21,330.54,405.06,13794.0
299,113.02,198.13,260.82,373.78,441.6,26059.0
